category,product_category,source_type,review_confidence,trend_confidence,review_count,evidence_alignment,grounded_ctr,is_grounded,failure_type,regenerate_node,revision_count,baseline_grounded_ctr,delta_grounded_ctr,baseline_evidence_alignment,delta_evidence_alignment,baseline_revision_count,delta_revision_count,diff_status,diff_warning,result
balsamic_vinegar,food,local_dataset+mock,0.75,0.35,6,1.0,0.06475885,True,,,0,0.06352672000000001,0.001232129999999998,0.8,0.19999999999999996,0,0,OK,,PASS
printer,printer,local_dataset+mock,0.75,0.35,6,1.0,0.062462425,True,,,0,0.06487744,-0.0024150149999999926,1.0,0.0,0,0,OK,,PASS
women_bras,women_bras,local_dataset+mock,0.75,0.35,6,1.0,0.0568562,True,,,0,0.06571360000000001,-0.008857400000000008,1.0,0.0,0,0,OK,,PASS
girls_overalls,children's apparel,local_dataset+mock,0.75,0.35,6,1.0,0.056539624999999996,True,,,0,0.06291568,-0.0063760550000000055,0.8,0.19999999999999996,0,0,OK,,PASS
protein_powder,dietary_supplement,local_dataset+mock,0.75,0.35,6,1.0,0.05789637500000001,True,,,0,0.05850440000000001,-0.0006080250000000051,1.0,0.0,0,0,OK,,PASS
phone_case,phone_case,local_dataset+mock,0.75,0.35,6,1.0,0.056328575000000006,True,,,0,0.07158816000000001,-0.015259585000000006,1.0,0.0,0,0,WARN,grounded_ctr dropped by 0.0153 (0.0716 -> 0.0563),PASS
desk_lamp,desk_lamp,local_dataset+mock,0.75,0.35,6,1.0,0.0648116125,True,,,0,0.0636232,0.0011884124999999995,0.8,0.19999999999999996,0,0,OK,,PASS
baby_stroller,Baby & Kids,local_dataset+mock,0.75,0.35,6,1.0,0.05624817500000001,True,,,0,0.05880992,-0.0025617449999999903,1.0,0.0,0,0,OK,,PASS
pet_hair_vacuum,home_cleaning_appliance,local_dataset+mock,0.75,0.35,6,1.0,0.057723850000000014,True,,,0,0.06355888000000001,-0.005835029999999998,1.0,0.0,0,0,OK,,PASS
skincare_serum,skincare_serum,local_dataset+mock,0.75,0.35,6,1.0,0.0634799875,True,,,0,0.06137401000000001,0.0021059774999999947,0.8,0.19999999999999996,0,0,OK,,PASS
